Genus	GQ	Species	SQ	Subspecies	Author	HigherTaxon	Comment	onButton	abbreviation
Lampromitra	 	sp6	 	 	 	Nasselaria		n	Lam sp6
Lampromitra		spE				Nasselaria		n	Lam spE
Lampromitra	 	spV	cf L.petrushevskayae	 	 	Nasselaria		n	Lam spV
Lamprotripus	 	mawsoni	 	 	 	Nasselaria		n	Lam maw
Larcopyle	 	augusti	 	 	 	Spumellaria		y	Lar aug
Larcopyle	 	buetschlii	 	 	 	Spumellaria		y	Lar bue
Larcopyle	 	eccentricum	 	 	 	Spumellaria		y	Lar ecc
Larcopyle	 	hayesi	 	 	 	Spumellaria		y	Lar hay
Larcopyle	 	labyrinthusa	 	 	 	Spumellaria		y	Lar lab
Larcopyle	 	nebulum	 	 	 	Spumellaria		y	Lar neb
Larcopyle	 	peregrinator	 	 	 	Spumellaria		n	Lar per
Larcopyle	 	polyacantha	 	amplissima	 	Spumellaria		y	L p amp
Larcopyle	 	polyacantha	 	polyacantha	 	Spumellaria		y	L p pol
Larcopyle	 	polyacantha	 	titan	 	Spumellaria		y	L p tit
Larcopyle	 	pylomaticus	 	 	 	Spumellaria		y	Lar pyl
Larcopyle	 	titan	 	 	 	Spumellaria		y	Lar tit
Larcopyle	 	weddelium	 	 	 	Spumellaria		y	Lar wed
Larcospira		moschkovskii				Spumellaria		y	Lar mos
Larcospira	 	quadrangula	 	 	 	Spumellaria		n	Lar qua
Liosphaera	 	antarctica	 	 	 	Spumellaria		n	Lio ant
Lipmanella	 	dictyoceras	 	 	 	Nasselaria		n	Lip dic
Liriospyris		elevata				Nasselaria		n	Lir ele
Liriospyris	 	mutuaria	 	 	 	Nasselaria		n	Lir mut
Litharachnium	 	tentorium	 	 	 	Nasselaria		n	Lit ten
Lithelius		hexaxyphophorus				Spumellaria		n	Lit hex
Lithelius	 	minor	 	 	 	Spumellaria		n	Lit min
Lithelius	 	nautiloides	 	 	 	Spumellaria		n	Lit nau
Lithomelissa		brevispicula				Nasselaria		n	Lit bre
Lithomelissa	 	cheni	 	 	 	Nasselaria		y	cheni
Lithomelissa	 	ehrenbergi	 	 	 	Nasselaria		n	Lit ehr
Lithomelissa		mitra				Nasselaria		n	Lit mit
Lithomelissa	 	robusta	 	 	 	Nasselaria		n	Lit rob
Lithomelissa	 	setosa	 	 	 	Nasselaria		y	Lit set
Lithomelissa	 	sp11	 	 	 	Nasselaria		n	Lit sp1
Lithomelissa	 	sp20	aff L.stigi	 	 	Nasselaria		n	Lit sp2
Lithomelissa	 	sphaerocephalis	 	 	 	Nasselaria		n	Lit sph
Lithomelissa	?	spT	 	 	 	Nasselaria		n	Lit spT
Lithomelissa	 	stigi	 	 	 	Nasselaria		y	stigi
Lithomelissa	 	tricornis	 	 	 	Nasselaria		n	Lit tri
Lithopera	 	renzae	 	 	 	Nasselaria		n	Lit ren
Lithostrobus	 	hexagonalis	 	 	 	Nasselaria		n	Lit hex
Lonchosphaera	?	spH	 	 	 	Spumellaria		n	Lon spH
Lonchosphaera	 	spicata	 	 	 	Spumellaria		n	Lon spi
Lophocorys	 	polyacantha	 	 	 	Nasselaria		n	Lop pol
Lophocyrtis	 	milowi	 	 	 	Nasselaria		n	Lop mil
Lophophaena	 	capito	 	 	 	Nasselaria		n	Lop cap
Lophophaena	 	clevei	 	 	 	Nasselaria		n	Lop cle
Lophophaena	 	macrencephala	 	 	 	Nasselaria		y	Lop mac
Lophophaena	 	nadezdae	 	 	 	Nasselaria		y	Lop nad
Lophophaena	 	simplex	 	 	 	Nasselaria		n	Lop sim
Lophophaena		undulatum				Nasselaria		n	Lop und
Lophophaena	 	leberu	 	 	 	Nasselaria		n	Lop leb
Lophophaena	?	spS	 	 	 	Nasselaria		n	Lop spS
Lophophaena	 	spU	 	 	 	Nasselaria		n	Lop spU
Lophophaena	 	thaumasia	 	 	 	Nasselaria		y	thaumasia
Lychnocanium		amphitrite				Nasselaria		n	Lyc amp
Lophospyris	 	pentagona	 	 	 	Nasselaria		n	Lop pen
Lychnocanium	 	conica	 	 	 	Nasselaria		y	Lyc con
Lychnocanium	 	elongata	 	 	 	Nasselaria		n	Lyc elo
Lychnocanium	 	grande	 	 	 	Nasselaria		y	Lyc gra
Lychnocanium	 	magnacornuta	 	 	 	Nasselaria		n	Lyc mag
Lychnocanium	 	spB	 	 	 	Nasselaria		n	Lyc spB
Lychnocanium	 	spC	 	 	 	Nasselaria		n	Lyc spC
Lychnocanium	 	sphaerothorax	 	 	 	Nasselaria		n	Lyc sph
Mitrocalpis	 	aranaefera	 	 	 	Nasselaria		n	Mit ara
Nasselarian		spA				Nasselaria		n	Nas spA
Nasselarian	 	spB	 	 	 	Nasselaria		n	Nas spB
Nasselarian	 	spD				Nasselaria		n	Nas spD
